Location,Age,ID,Ref. ID,Invoice,Date,Time,Supplier,Supplier Type,Status,Total Qty,Total Disc1(Rs),Extra Disc,Taxable Value,GST-0,GST-3,GST-5,GST-12,GST-18,GST-28,GST-40,Total Tax,Round Off,Settled Amount,Due Amount
Main Store,0,PO-00015,REF-00015,INV-20251006-0015,06-10-2025,10:00:00,SUP-004,LOCAL,SETTLED,97,0,0,1018.5,0,0,0,0,0,0,0,0.0,0,1018.5,0
Main Store,0,PO-00016,REF-00016,INV-20251006-0016,06-10-2025,10:00:00,SUP-004,LOCAL,SETTLED,89,0,0,3738.0,0,0,0,0,0,0,0,0.0,0,3738.0,0
Main Store,0,PO-00017,REF-00017,INV-20251006-0017,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,57,0,0,855.0,0,0,0,0,0,0,0,102.6,0,957.6,0
Main Store,0,PO-00018,REF-00018,INV-20251006-0018,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,42,0,0,945.0,0,0,0,0,0,0,0,113.4,0,1058.4,0
Main Store,0,PO-00019,REF-00019,INV-20251006-0019,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,45,0,0,675.0,0,0,0,0,0,0,0,189.0,0,864.0,0
Main Store,0,PO-00020,REF-00020,INV-20251006-0020,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,48,0,0,1440.0,0,0,0,0,0,0,0,403.2,0,1843.2,0
Main Store,0,PO-00021,REF-00021,INV-20251006-0021,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,35,0,0,1181.25,0,0,0,0,0,0,0,330.75,0,1512.0,0
Main Store,0,PO-00022,REF-00022,INV-20251006-0022,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,18,0,0,270.0,0,0,0,0,0,0,0,32.4,0,302.4,0
Main Store,0,PO-00023,REF-00023,INV-20251006-0023,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,15,0,0,506.25,0,0,0,0,0,0,0,60.75,0,567.0,0
Main Store,0,PO-00024,REF-00024,INV-20251006-0024,06-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,93,0,0,1395.0,0,0,0,0,0,0,0,0.0,0,1395.0,0
Main Store,0,PO-00025,REF-00025,INV-20251006-0025,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,60,0,0,5400.0,0,0,0,0,0,0,0,972.0,0,6372.0,0
Main Store,0,PO-00026,REF-00026,INV-20251006-0026,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,16,0,0,1200.0,0,0,0,0,0,0,0,216.0,0,1416.0,0
Main Store,0,PO-00027,REF-00027,INV-20251006-0027,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,44,0,0,1815.0,0,0,0,0,0,0,0,326.7,0,2141.7,0
Main Store,0,PO-00028,REF-00028,INV-20251006-0028,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,58,0,0,2175.0,0,0,0,0,0,0,0,391.5,0,2566.5,0
Main Store,0,PO-00029,REF-00029,INV-20251006-0029,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,58,0,0,9570.0,0,0,0,0,0,0,0,1722.6,0,11292.6,0
Main Store,0,PO-00030,REF-00030,INV-20251006-0030,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,42,0,0,7245.0,0,0,0,0,0,0,0,1304.1,0,8549.1,0
Main Store,0,PO-00031,REF-00031,INV-20251006-0031,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,18,0,0,2632.5,0,0,0,0,0,0,0,473.85,0,3106.35,0
Main Store,0,PO-00032,REF-00032,INV-20251006-0032,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,17,0,0,3952.5,0,0,0,0,0,0,0,711.45,0,4663.95,0
Main Store,0,PO-00033,REF-00033,INV-20251006-0033,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,24,0,0,810.0,0,0,0,0,0,0,0,145.8,0,955.8,0
Main Store,0,PO-00034,REF-00034,INV-20251006-0034,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,2283.75,0,0,0,0,0,0,0,411.07,0,2694.82,0
Main Store,0,PO-00035,REF-00035,INV-20251006-0035,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,17,0,0,1211.25,0,0,0,0,0,0,0,218.03,0,1429.28,0
Main Store,0,PO-00036,REF-00036,INV-20251006-0036,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,22,0,0,577.5,0,0,0,0,0,0,0,103.95,0,681.45,0
Main Store,0,PO-00037,REF-00037,INV-20251006-0037,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,48,0,0,8100.0,0,0,0,0,0,0,0,972.0,0,9072.0,0
Main Store,0,PO-00038,REF-00038,INV-20251006-0038,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,4252.5,0,0,0,0,0,0,0,510.3,0,4762.8,0
Main Store,0,PO-00039,REF-00039,INV-20251006-0039,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,16,0,0,1080.0,0,0,0,0,0,0,0,129.6,0,1209.6,0
Main Store,0,PO-00040,REF-00040,INV-20251006-0040,06-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,1575.0,0,0,0,0,0,0,0,283.5,0,1858.5,0
Main Store,0,PO-00041,REF-00041,INV-20251006-0041,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,43,0,0,483.75,0,0,0,0,0,0,0,0.0,0,483.75,0
Main Store,0,PO-00042,REF-00042,INV-20251006-0042,06-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,44,0,0,924.0,0,0,0,0,0,0,0,0.0,0,924.0,0
Main Store,0,PO-00043,REF-00043,INV-20251013-0043,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,86,0,0,22575.0,0,0,0,0,0,0,0,1128.75,0,23703.75,0
Main Store,0,PO-00044,REF-00044,INV-20251013-0044,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,53,0,0,27030.0,0,0,0,0,0,0,0,1351.5,0,28381.5,0
Main Store,0,PO-00045,REF-00045,INV-20251013-0045,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,123,0,0,2214.0,0,0,0,0,0,0,0,0.0,0,2214.0,0
Main Store,0,PO-00046,REF-00046,INV-20251013-0046,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,94,0,0,12337.5,0,0,0,0,0,0,0,616.88,0,12954.38,0
Main Store,0,PO-00047,REF-00047,INV-20251013-0047,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,46,0,0,28980.0,0,0,0,0,0,0,0,1449.0,0,30429.0,0
Main Store,0,PO-00048,REF-00048,INV-20251013-0048,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,51,0,0,4972.5,0,0,0,0,0,0,0,248.62,0,5221.12,0
Main Store,0,PO-00049,REF-00049,INV-20251013-0049,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,57,0,0,10687.5,0,0,0,0,0,0,0,534.38,0,11221.88,0
Main Store,0,PO-00050,REF-00050,INV-20251013-0050,13-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,106,0,0,22260.0,0,0,0,0,0,0,0,2671.2,0,24931.2,0
Main Store,0,PO-00051,REF-00051,INV-20251013-0051,13-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,48,0,0,2160.0,0,0,0,0,0,0,0,259.2,0,2419.2,0
Main Store,0,PO-00052,REF-00052,INV-20251013-0052,13-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,69,0,0,6210.0,0,0,0,0,0,0,0,745.2,0,6955.2,0
Main Store,0,PO-00053,REF-00053,INV-20251013-0053,13-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,98,0,0,2940.0,0,0,0,0,0,0,0,147.0,0,3087.0,0
Main Store,0,PO-00054,REF-00054,INV-20251013-0054,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,96,0,0,3600.0,0,0,0,0,0,0,0,0.0,0,3600.0,0
Main Store,0,PO-00055,REF-00055,INV-20251013-0055,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,35,0,0,918.75,0,0,0,0,0,0,0,0.0,0,918.75,0
Main Store,0,PO-00056,REF-00056,INV-20251013-0056,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,49,0,0,1102.5,0,0,0,0,0,0,0,0.0,0,1102.5,0
Main Store,0,PO-00057,REF-00057,INV-20251013-0057,13-10-2025,10:00:00,SUP-004,LOCAL,SETTLED,110,0,0,1155.0,0,0,0,0,0,0,0,0.0,0,1155.0,0
Main Store,0,PO-00058,REF-00058,INV-20251013-0058,13-10-2025,10:00:00,SUP-004,LOCAL,SETTLED,100,0,0,4200.0,0,0,0,0,0,0,0,0.0,0,4200.0,0
Main Store,0,PO-00059,REF-00059,INV-20251013-0059,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,53,0,0,795.0,0,0,0,0,0,0,0,95.4,0,890.4,0
Main Store,0,PO-00060,REF-00060,INV-20251013-0060,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,44,0,0,990.0,0,0,0,0,0,0,0,118.8,0,1108.8,0
Main Store,0,PO-00061,REF-00061,INV-20251013-0061,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,32,0,0,480.0,0,0,0,0,0,0,0,134.4,0,614.4,0
Main Store,0,PO-00062,REF-00062,INV-20251013-0062,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,45,0,0,1350.0,0,0,0,0,0,0,0,378.0,0,1728.0,0
Main Store,0,PO-00063,REF-00063,INV-20251013-0063,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,50,0,0,1687.5,0,0,0,0,0,0,0,472.5,0,2160.0,0
Main Store,0,PO-00064,REF-00064,INV-20251013-0064,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,26,0,0,390.0,0,0,0,0,0,0,0,46.8,0,436.8,0
Main Store,0,PO-00065,REF-00065,INV-20251013-0065,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,18,0,0,607.5,0,0,0,0,0,0,0,72.9,0,680.4,0
Main Store,0,PO-00066,REF-00066,INV-20251013-0066,13-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,96,0,0,1440.0,0,0,0,0,0,0,0,0.0,0,1440.0,0
Main Store,0,PO-00067,REF-00067,INV-20251013-0067,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,54,0,0,4860.0,0,0,0,0,0,0,0,874.8,0,5734.8,0
Main Store,0,PO-00068,REF-00068,INV-20251013-0068,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,1575.0,0,0,0,0,0,0,0,283.5,0,1858.5,0
Main Store,0,PO-00069,REF-00069,INV-20251013-0069,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,43,0,0,1773.75,0,0,0,0,0,0,0,319.27,0,2093.02,0
Main Store,0,PO-00070,REF-00070,INV-20251013-0070,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,64,0,0,2400.0,0,0,0,0,0,0,0,432.0,0,2832.0,0
Main Store,0,PO-00071,REF-00071,INV-20251013-0071,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,53,0,0,8745.0,0,0,0,0,0,0,0,1574.1,0,10319.1,0
Main Store,0,PO-00072,REF-00072,INV-20251013-0072,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,41,0,0,7072.5,0,0,0,0,0,0,0,1273.05,0,8345.55,0
Main Store,0,PO-00073,REF-00073,INV-20251013-0073,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,17,0,0,2486.25,0,0,0,0,0,0,0,447.52,0,2933.77,0
Main Store,0,PO-00074,REF-00074,INV-20251013-0074,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,15,0,0,3487.5,0,0,0,0,0,0,0,627.75,0,4115.25,0
Main Store,0,PO-00075,REF-00075,INV-20251013-0075,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,18,0,0,607.5,0,0,0,0,0,0,0,109.35,0,716.85,0
Main Store,0,PO-00076,REF-00076,INV-20251013-0076,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,2283.75,0,0,0,0,0,0,0,411.07,0,2694.82,0
Main Store,0,PO-00077,REF-00077,INV-20251013-0077,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,17,0,0,1211.25,0,0,0,0,0,0,0,218.03,0,1429.28,0
Main Store,0,PO-00078,REF-00078,INV-20251013-0078,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,26,0,0,682.5,0,0,0,0,0,0,0,122.85,0,805.35,0
Main Store,0,PO-00079,REF-00079,INV-20251013-0079,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,47,0,0,7931.25,0,0,0,0,0,0,0,951.75,0,8883.0,0
Main Store,0,PO-00080,REF-00080,INV-20251013-0080,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,18,0,0,3645.0,0,0,0,0,0,0,0,437.4,0,4082.4,0
Main Store,0,PO-00081,REF-00081,INV-20251013-0081,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,1417.5,0,0,0,0,0,0,0,170.1,0,1587.6,0
Main Store,0,PO-00082,REF-00082,INV-20251013-0082,13-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,16,0,0,1200.0,0,0,0,0,0,0,0,216.0,0,1416.0,0
Main Store,0,PO-00083,REF-00083,INV-20251013-0083,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,57,0,0,641.25,0,0,0,0,0,0,0,0.0,0,641.25,0
Main Store,0,PO-00084,REF-00084,INV-20251013-0084,13-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,39,0,0,819.0,0,0,0,0,0,0,0,0.0,0,819.0,0
Main Store,0,PO-00085,REF-00085,INV-20251020-0085,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,103,0,0,27037.5,0,0,0,0,0,0,0,1351.88,0,28389.38,0
Main Store,0,PO-00086,REF-00086,INV-20251020-0086,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,54,0,0,27540.0,0,0,0,0,0,0,0,1377.0,0,28917.0,0
Main Store,0,PO-00087,REF-00087,INV-20251020-0087,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,95,0,0,1710.0,0,0,0,0,0,0,0,0.0,0,1710.0,0
Main Store,0,PO-00088,REF-00088,INV-20251020-0088,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,95,0,0,12468.75,0,0,0,0,0,0,0,623.44,0,13092.19,0
Main Store,0,PO-00089,REF-00089,INV-20251020-0089,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,47,0,0,29610.0,0,0,0,0,0,0,0,1480.5,0,31090.5,0
Main Store,0,PO-00090,REF-00090,INV-20251020-0090,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,59,0,0,5752.5,0,0,0,0,0,0,0,287.62,0,6040.12,0
Main Store,0,PO-00091,REF-00091,INV-20251020-0091,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,43,0,0,8062.5,0,0,0,0,0,0,0,403.12,0,8465.62,0
Main Store,0,PO-00092,REF-00092,INV-20251020-0092,20-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,80,0,0,16800.0,0,0,0,0,0,0,0,2016.0,0,18816.0,0
Main Store,0,PO-00093,REF-00093,INV-20251020-0093,20-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,43,0,0,1935.0,0,0,0,0,0,0,0,232.2,0,2167.2,0
Main Store,0,PO-00094,REF-00094,INV-20251020-0094,20-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,41,0,0,3690.0,0,0,0,0,0,0,0,442.8,0,4132.8,0
Main Store,0,PO-00095,REF-00095,INV-20251020-0095,20-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,101,0,0,3030.0,0,0,0,0,0,0,0,151.5,0,3181.5,0
Main Store,0,PO-00096,REF-00096,INV-20251020-0096,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,111,0,0,4162.5,0,0,0,0,0,0,0,0.0,0,4162.5,0
Main Store,0,PO-00097,REF-00097,INV-20251020-0097,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,53,0,0,1391.25,0,0,0,0,0,0,0,0.0,0,1391.25,0
Main Store,0,PO-00098,REF-00098,INV-20251020-0098,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,67,0,0,1507.5,0,0,0,0,0,0,0,0.0,0,1507.5,0
Main Store,0,PO-00099,REF-00099,INV-20251020-0099,20-10-2025,10:00:00,SUP-004,LOCAL,SETTLED,113,0,0,1186.5,0,0,0,0,0,0,0,0.0,0,1186.5,0
Main Store,0,PO-00100,REF-00100,INV-20251020-0100,20-10-2025,10:00:00,SUP-004,LOCAL,SETTLED,100,0,0,4200.0,0,0,0,0,0,0,0,0.0,0,4200.0,0
Main Store,0,PO-00101,REF-00101,INV-20251020-0101,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,49,0,0,735.0,0,0,0,0,0,0,0,88.2,0,823.2,0
Main Store,0,PO-00102,REF-00102,INV-20251020-0102,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,52,0,0,1170.0,0,0,0,0,0,0,0,140.4,0,1310.4,0
Main Store,0,PO-00103,REF-00103,INV-20251020-0103,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,58,0,0,870.0,0,0,0,0,0,0,0,243.6,0,1113.6,0
Main Store,0,PO-00104,REF-00104,INV-20251020-0104,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,48,0,0,1440.0,0,0,0,0,0,0,0,403.2,0,1843.2,0
Main Store,0,PO-00105,REF-00105,INV-20251020-0105,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,52,0,0,1755.0,0,0,0,0,0,0,0,491.4,0,2246.4,0
Main Store,0,PO-00106,REF-00106,INV-20251020-0106,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,15,0,0,225.0,0,0,0,0,0,0,0,27.0,0,252.0,0
Main Store,0,PO-00107,REF-00107,INV-20251020-0107,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,22,0,0,742.5,0,0,0,0,0,0,0,89.1,0,831.6,0
Main Store,0,PO-00108,REF-00108,INV-20251020-0108,20-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,94,0,0,1410.0,0,0,0,0,0,0,0,0.0,0,1410.0,0
Main Store,0,PO-00109,REF-00109,INV-20251020-0109,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,52,0,0,4680.0,0,0,0,0,0,0,0,842.4,0,5522.4,0
Main Store,0,PO-00110,REF-00110,INV-20251020-0110,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,23,0,0,1725.0,0,0,0,0,0,0,0,310.5,0,2035.5,0
Main Store,0,PO-00111,REF-00111,INV-20251020-0111,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,38,0,0,1567.5,0,0,0,0,0,0,0,282.15,0,1849.65,0
Main Store,0,PO-00112,REF-00112,INV-20251020-0112,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,48,0,0,1800.0,0,0,0,0,0,0,0,324.0,0,2124.0,0
Main Store,0,PO-00113,REF-00113,INV-20251020-0113,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,44,0,0,7260.0,0,0,0,0,0,0,0,1306.8,0,8566.8,0
Main Store,0,PO-00114,REF-00114,INV-20251020-0114,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,39,0,0,6727.5,0,0,0,0,0,0,0,1210.95,0,7938.45,0
Main Store,0,PO-00115,REF-00115,INV-20251020-0115,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,22,0,0,3217.5,0,0,0,0,0,0,0,579.15,0,3796.65,0
Main Store,0,PO-00116,REF-00116,INV-20251020-0116,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,26,0,0,6045.0,0,0,0,0,0,0,0,1088.1,0,7133.1,0
Main Store,0,PO-00117,REF-00117,INV-20251020-0117,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,14,0,0,472.5,0,0,0,0,0,0,0,85.05,0,557.55,0
Main Store,0,PO-00118,REF-00118,INV-20251020-0118,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,22,0,0,2392.5,0,0,0,0,0,0,0,430.65,0,2823.15,0
Main Store,0,PO-00119,REF-00119,INV-20251020-0119,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,20,0,0,1425.0,0,0,0,0,0,0,0,256.5,0,1681.5,0
Main Store,0,PO-00120,REF-00120,INV-20251020-0120,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,21,0,0,551.25,0,0,0,0,0,0,0,99.22,0,650.47,0
Main Store,0,PO-00121,REF-00121,INV-20251020-0121,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,44,0,0,7425.0,0,0,0,0,0,0,0,891.0,0,8316.0,0
Main Store,0,PO-00122,REF-00122,INV-20251020-0122,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,27,0,0,5467.5,0,0,0,0,0,0,0,656.1,0,6123.6,0
Main Store,0,PO-00123,REF-00123,INV-20251020-0123,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,24,0,0,1620.0,0,0,0,0,0,0,0,194.4,0,1814.4,0
Main Store,0,PO-00124,REF-00124,INV-20251020-0124,20-10-2025,10:00:00,SUP-005,LOCAL,SETTLED,11,0,0,825.0,0,0,0,0,0,0,0,148.5,0,973.5,0
Main Store,0,PO-00125,REF-00125,INV-20251020-0125,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,57,0,0,641.25,0,0,0,0,0,0,0,0.0,0,641.25,0
Main Store,0,PO-00126,REF-00126,INV-20251020-0126,20-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,40,0,0,840.0,0,0,0,0,0,0,0,0.0,0,840.0,0
Main Store,0,PO-00127,REF-00127,INV-20251027-0127,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,98,0,0,25725.0,0,0,0,0,0,0,0,1286.25,0,27011.25,0
Main Store,0,PO-00128,REF-00128,INV-20251027-0128,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,42,0,0,21420.0,0,0,0,0,0,0,0,1071.0,0,22491.0,0
Main Store,0,PO-00129,REF-00129,INV-20251027-0129,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,85,0,0,1530.0,0,0,0,0,0,0,0,0.0,0,1530.0,0
Main Store,0,PO-00130,REF-00130,INV-20251027-0130,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,101,0,0,13256.25,0,0,0,0,0,0,0,662.81,0,13919.06,0
Main Store,0,PO-00131,REF-00131,INV-20251027-0131,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,48,0,0,30240.0,0,0,0,0,0,0,0,1512.0,0,31752.0,0
Main Store,0,PO-00132,REF-00132,INV-20251027-0132,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,48,0,0,4680.0,0,0,0,0,0,0,0,234.0,0,4914.0,0
Main Store,0,PO-00133,REF-00133,INV-20251027-0133,27-10-2025,10:00:00,SUP-001,LOCAL,SETTLED,44,0,0,8250.0,0,0,0,0,0,0,0,412.5,0,8662.5,0
Main Store,0,PO-00134,REF-00134,INV-20251027-0134,27-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,81,0,0,17010.0,0,0,0,0,0,0,0,2041.2,0,19051.2,0
Main Store,0,PO-00135,REF-00135,INV-20251027-0135,27-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,52,0,0,2340.0,0,0,0,0,0,0,0,280.8,0,2620.8,0
Main Store,0,PO-00136,REF-00136,INV-20251027-0136,27-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,47,0,0,4230.0,0,0,0,0,0,0,0,507.6,0,4737.6,0
Main Store,0,PO-00137,REF-00137,INV-20251027-0137,27-10-2025,10:00:00,SUP-003,LOCAL,SETTLED,95,0,0,2850.0,0,0,0,0,0,0,0,142.5,0,2992.5,0
Main Store,0,PO-00138,REF-00138,INV-20251027-0138,27-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,97,0,0,3637.5,0,0,0,0,0,0,0,0.0,0,3637.5,0
Main Store,0,PO-00139,REF-00139,INV-20251027-0139,27-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,60,0,0,1575.0,0,0,0,0,0,0,0,0.0,0,1575.0,0
Main Store,0,PO-00140,REF-00140,INV-20251027-0140,27-10-2025,10:00:00,SUP-002,LOCAL,SETTLED,41,0,0,922.5,0,0,0,0,0,0,0,0.0,0,922.5,0
